"filename", "language", "Python", "Markdown", "CSV", "Django txt", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\MmxModel_20220114015243.py", "Python", -33, 0, 0, 0, 0, 0, -12, -7, -52
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\MmxModel_20220114020901.py", "Python", -34, 0, 0, 0, 0, 0, -12, -7, -53
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelCoursePlan_20220114020111.py", "Python", -40, 0, 0, 0, 0, 0, -12, -1, -53
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelCoursePlan_20220114130423.py", "Python", -37, 0, 0, 0, 0, 0, -12, -2, -51
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelCurricula_20220114020142.py", "Python", -39, 0, 0, 0, 0, 0, -12, -3, -54
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelCurricula_20220114131301.py", "Python", -37, 0, 0, 0, 0, 0, -12, -3, -52
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelDepartment_20220114020435.py", "Python", -20, 0, 0, 0, 0, 0, -12, -4, -36
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelDepartment_20220114021616.py", "Python", -19, 0, 0, 0, 0, 0, -12, -4, -35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelDepartment_20220114131547.py", "Python", -18, 0, 0, 0, 0, 0, -12, -5, -35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelEquipment_20220114020631.py", "Python", -43, 0, 0, 0, 0, 0, -12, -3, -58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelEquipment_20220114131621.py", "Python", -42, 0, 0, 0, 0, 0, -12, -4, -58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelLocation_20220114020806.py", "Python", -46, 0, 0, 0, 0, 0, -12, -8, -66
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelLocation_20220114133915.py", "Python", -45, 0, 0, 0, 0, 0, -12, -7, -64
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelMmx_20220114020938.py", "Python", -22, 0, 0, 0, 0, 0, -12, -10, -44
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelMmx_20220114133906.py", "Python", -21, 0, 0, 0, 0, 0, -12, -7, -40
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelRunningAccount_20220114020956.py", "Python", -30, 0, 0, 0, 0, 0, -12, -3, -45
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelTableInformation_20220114021006.py", "Python", -26, 0, 0, 0, 0, 0, -12, -3, -41
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelTypera_20220114021016.py", "Python", -25, 0, 0, 0, 0, 0, -12, -3, -40
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelTypera_20220114133350.py", "Python", -18, 0, 0, 0, 0, 0, -12, -5, -35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelTypera_20220114151328.py", "Python", -18, 0, 0, 0, 0, 0, -12, -5, -35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114021026.py", "Python", -75, 0, 0, 0, 0, 0, -12, -22, -109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114133455.py", "Python", -57, 0, 0, 0, 0, 0, -12, -26, -95
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114135838.py", "Python", -58, 0, 0, 0, 0, 0, -12, -26, -96
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114150617.py", "Python", -58, 0, 0, 0, 0, 0, -12, -26, -96
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114152834.py", "Python", -59, 0, 0, 0, 0, 0, -12, -26, -97
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114154409.py", "Python", -59, 0, 0, 0, 0, 0, -12, -26, -97
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ModelUser_20220114163703.py", "Python", -59, 0, 0, 0, 0, 0, -12, -26, -97
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\Model\ORM_20220114021643.py", "Python", -15, 0, 0, 0, 0, 0, -12, -2, -29
