"filename", "language", "Markdown", "Python", "pip requirements", "YAML", "HTML", "Properties", "Docker", "Ini", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 167, 38, 613
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 167
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValuesAndSchemas.py", "Python", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 144
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\UserGroup.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 238
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Server\config.py", "Python", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 160, 21, 228
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\MiddleWare.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicService.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 162
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCoursePlan.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCurricula.py", "Python", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5, 148
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceDepartment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceEquipment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceLocation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceLocationExtension.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceMmx.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceMmxData.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceRunningAccount.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceTableInformation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceTypera.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceUser.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 65
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 16
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tasks\__init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\main.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\requirements.txt", "pip requirements", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\整体技术框架设计.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 84
"Total", "-", 1174, 4113, 144, 29, 0, 46, 16, 80, 729, 5, 1421, 1032, 8789
